Year/Month/Day or Period,Event,Category,Economic/Market Impact (S&P 500),,,,,,,,,,,,,,,,,,,,,
2006-07-24,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-25,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-26,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-27,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-28,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-29,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-30,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-31,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-01,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-02,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-03,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-04,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-05,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-06,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-07,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-08,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-09,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-10,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-11,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-12,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-13,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-14,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-08-15,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2007-02-27,China sell-off,Global Equity,S&P ~-3.5% day; global risk-off,,,,,,,,,,,,,,,,,,,,,
2007-04-02,New Century Financial bankruptcy (subprime),Financials/Housing,Escalates U.S. mortgage stress,,,,,,,,,,,,,,,,,,,,,
2007-08-01,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-02,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-03,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-04,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-05,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-06,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-07,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-08,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-09,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-10,Quant Quake (factor liquidation),Markets/Quant,High factor volatility; several ~-3% days,,,,,,,,,,,,,,,,,,,,,
2007-08-09,BNP Paribas freezes funds (credit freeze),Credit/Financials,Globalizes funding stress,,,,,,,,,,,,,,,,,,,,,
2007-10-09,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-10-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-11-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-28,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-29,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-30,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2007-12-31,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-1,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-2,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-3,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-4,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-5,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-6,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-7,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-8,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-9,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-10,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-11,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-12,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-13,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-14,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-15,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-16,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-17,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-18,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-19,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-20,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-21,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-22,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-23,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-24,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-25,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-26,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2008-1-27,Global Financial Crisis bear market,Systemic/Financials,S&P ~-57% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
