name,ticker,identifier,SEDOL,weight,sector,shares_held,local_currency
CBOE GLOBAL MARKETS INC,CBOE,12503M108,B5834C5,0.046119,Financial Services,165998,USD
DEXCOM INC,DXCM,252131107,B0796X4,0.046018,Healthcare,622420,USD
CENTERPOINT ENERGY INC,CNP,15189T107,2440637,0.04598,Utilities,1032075,USD
VERALTO CORP,VLTO,92338C103,BPGMZQ5,0.045515,Industrials,393529,USD
SYNCHRONY FINANCIAL,SYF,87165B103,BP96PS6,0.045395,Financial Services,587819,USD
CINCINNATI FINANCIAL CORP,CINF,172062101,2196888,0.044659,Financial Services,247437,USD
EXPEDIA GROUP INC,EXPE,30212P303,B748CK2,0.044556,Consumer Cyclical,186586,USD
OLD DOMINION FREIGHT LINE,ODFL,679580100,2656423,0.044494,Industrials,291786,USD
ULTA BEAUTY INC,ULTA,90384S303,B28TS42,0.044264,Consumer Cyclical,70978,USD
FIRSTENERGY CORP,FE,337932107,2100920,0.043984,Utilities,825855,USD
FIRST SOLAR INC,FSLR,336433107,B1HMF22,0.043553,Technology,169806,USD
LIVE NATION ENTERTAINMENT IN,LYV,538034109,B0T7YX2,0.0435,Communication Services,250482,USD
EXPAND ENERGY CORP,EXE,165167735,BMZ5LZ5,0.04341,Energy,375756,USD
LEIDOS HOLDINGS INC,LDOS,525327102,BDV82B8,0.043346,Technology,203047,USD
INTERNATIONAL PAPER CO,IP,460146103,2465254,0.043327,Consumer Cyclical,835228,USD
CHARTER COMMUNICATIONS INC A,CHTR,16119P108,BZ6VT82,0.043162,Communication Services,146506,USD
HP INC,HPQ,40434L105,BYX4D52,0.043107,Technology,1486026,USD
NORTHERN TRUST CORP,NTRS,665859104,2648668,0.042745,Financial Services,301873,USD
PULTEGROUP INC,PHM,745867101,2708841,0.042521,Consumer Cyclical,311997,USD
PTC INC,PTC,69370C100,B95N910,0.04252,Technology,190201,USD
TRADE DESK INC/THE  CLASS A,TTD,88339J105,BD8FDD1,0.041894,Communication Services,704735,USD
WR BERKLEY CORP,WRB,084423102,2093644,0.041795,Financial Services,474085,USD
STERIS PLC,STE,G8473T100,BFY8C75,0.04172,Healthcare,155816,USD
LABCORP HOLDINGS INC,LH,504922105,BSBK800,0.041432,Healthcare,131324,USD
HUNTINGTON BANCSHARES INC,HBAN,446150104,2445966,0.041048,Financial Services,2317618,USD
NETAPP INC,NTAP,64110D104,2630643,0.04096,Technology,316630,USD
TAPESTRY INC,TPR,876030107,BF09HX3,0.040421,Consumer Cyclical,328980,USD
CMS ENERGY CORP,CMS,125896100,2219224,0.040073,Utilities,476386,USD
KELLANOVA,K,487836108,2486813,0.040056,Consumer Defensive,425784,USD
WILLIAMS SONOMA INC,WSM,969904101,2967589,0.039985,Consumer Cyclical,194091,USD
INSULET CORP,PODD,45784P101,B1XGNW4,0.039921,Healthcare,111794,USD
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,0.039868,Financial Services,346205,USD
PPG INDUSTRIES INC,PPG,693506107,2698470,0.039817,Basic Materials,356111,USD
DOVER CORP,DOV,260003108,2278407,0.039745,Industrials,216827,USD
VERISIGN INC,VRSN,92343E102,2142922,0.03939,Technology,133019,USD
DOLLAR GENERAL CORP,DG,256677105,B5B1S13,0.039327,Consumer Defensive,349107,USD
TYLER TECHNOLOGIES INC,TYL,902252105,2909644,0.039,Technology,68128,USD
HUBBELL INC,HUBB,443510607,BDFG6S3,0.038999,Industrials,84096,USD
BIOGEN INC,BIIB,09062X103,2455965,0.038706,Healthcare,232598,USD
REGIONS FINANCIAL CORP,RF,7591EP100,B01R311,0.038663,Financial Services,1409502,USD
EQUITY RESIDENTIAL,EQR,29476L107,2319157,0.038654,Real Estate,552067,USD
KRAFT HEINZ CO/THE,KHC,500754106,BYRY499,0.038391,Consumer Defensive,1344492,USD
NVR INC,NVR,62944T105,2637785,0.038304,Consumer Cyclical,4528,USD
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,0.038298,Consumer Defensive,384628,USD
CITIZENS FINANCIAL GROUP,CFG,174610105,BQRX1X3,0.038061,Financial Services,680676,USD
DARDEN RESTAURANTS INC,DRI,237194105,2289874,0.038034,Consumer Cyclical,184907,USD
SMURFIT WESTROCK PLC,SW,G8267P108,BRK49M5,0.037863,Consumer Cyclical,824448,USD
TERADYNE INC,TER,880770102,2884183,0.037636,Technology,250980,USD
JABIL INC,JBL,466313103,2471789,0.037428,Technology,169939,USD
QUEST DIAGNOSTICS INC,DGX,74834L100,2702791,0.037069,Healthcare,177377,USD
ESTEE LAUDER COMPANIES CL A,EL,518439104,2320524,0.037001,Consumer Defensive,371820,USD
DEVON ENERGY CORP,DVN,25179M103,2480677,0.036977,Energy,1002120,USD
SBA COMMUNICATIONS CORP,SBAC,78410G104,BZ6TS23,0.036525,Real Estate,170124,USD
CONSTELLATION BRANDS INC A,STZ,21036P108,2170473,0.03619,Consumer Defensive,225543,USD
NISOURCE INC,NI,65473P105,2645409,0.036139,Utilities,742674,USD
GLOBAL PAYMENTS INC,GPN,37940X102,2712013,0.036122,Industrials,384011,USD
EDISON INTERNATIONAL,EIX,281020107,2829515,0.035989,Utilities,608191,USD
CORPAY INC,CPAY,219948106,BMX5GK7,0.03564,Technology,112068,USD
WATERS CORP,WAT,941848103,2937689,0.035471,Healthcare,94389,USD
STEEL DYNAMICS INC,STLD,858119100,2849472,0.03526,Basic Materials,219902,USD
F5 INC,FFIV,315616102,2427599,0.034426,Technology,91401,USD
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.033992,Technology,206424,USD
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.033821,Healthcare,113798,USD
ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,2783815,0.03373,Healthcare,313680,USD
HALLIBURTON CO,HAL,406216101,2405302,0.033562,Energy,1345495,USD
ON SEMICONDUCTOR,ON,682189105,2583576,0.033519,Technology,645445,USD
PACKAGING CORP OF AMERICA,PKG,695156109,2504566,0.033262,Consumer Cyclical,141703,USD
AMCOR PLC,AMCR,G0250X107,BJ1F307,0.03283,Consumer Cyclical,3646473,USD
LULULEMON ATHLETICA INC,LULU,550021109,B23FN39,0.032747,Consumer Cyclical,172185,USD
GENUINE PARTS CO,GPC,372460105,2367480,0.032603,Consumer Cyclical,220318,USD
GARTNER INC,IT,366651107,2372763,0.032522,Technology,119629,USD
GODADDY INC   CLASS A,GDDY,380237107,BWFRFC6,0.032496,Technology,219026,USD
TRIMBLE INC,TRMB,896239100,2903958,0.032296,Technology,376119,USD
JACOBS SOLUTIONS INC,J,46982L108,BNGC0D3,0.03229,Industrials,188189,USD
EVERGY INC,EVRG,30034W106,BFMXGR0,0.032167,Utilities,365721,USD
PENTAIR PLC,PNR,G7S00T104,BLS09M3,0.031692,Industrials,260367,USD
APTIV PLC,APTV,G3265R107,BTDN8H1,0.031561,Consumer Cyclical,344468,USD
COTERRA ENERGY INC,CTRA,127097103,2162340,0.031312,Energy,1212260,USD
ALLIANT ENERGY CORP,LNT,018802108,2973821,0.031249,Utilities,406255,USD
WEYERHAEUSER CO,WY,962166104,2958936,0.031241,Real Estate,1149875,USD
LOEWS CORP,L,540424108,2523022,0.030781,Financial Services,268804,USD
SNAP ON INC,SNA,833034101,2818740,0.030677,Industrials,82546,USD
TEXAS PACIFIC LAND CORP,TPL,88262P102,BM99VY2,0.030664,Energy,30372,USD
DOLLAR TREE INC,DLTR,256746108,2272476,0.030455,Consumer Defensive,306181,USD
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.030362,Consumer Defensive,401180,USD
LENNOX INTERNATIONAL INC,LII,526107107,2442053,0.029963,Industrials,50317,USD
CENTENE CORP,CNC,15135B101,2807061,0.029912,Healthcare,736743,USD
ESSEX PROPERTY TRUST INC,ESS,297178105,2316619,0.029608,Real Estate,101923,USD
SOUTHWEST AIRLINES CO,LUV,844741108,2831543,0.029458,Industrials,829226,USD
FORTIVE CORP,FTV,34959J108,BYT3MK1,0.029058,Technology,535439,USD
PRINCIPAL FINANCIAL GROUP,PFG,74251V102,2803014,0.02888,Financial Services,320287,USD
ROLLINS INC,ROL,775711104,2747305,0.028848,Consumer Cyclical,445772,USD
KEYCORP,KEY,493267108,2490911,0.028737,Financial Services,1471565,USD
INVITATION HOMES INC,INVH,46187W107,BD81GW9,0.028312,Real Estate,892520,USD
MID AMERICA APARTMENT COMM,MAA,59522J103,2589132,0.028205,Real Estate,184636,USD
EXPEDITORS INTL WASH INC,EXPD,302130109,2325507,0.027522,Industrials,214275,USD
LAS VEGAS SANDS CORP,LVS,517834107,B02T2J7,0.027465,Consumer Cyclical,487615,USD
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,0.027416,Basic Materials,405495,USD
HOLOGIC INC,HOLX,436440101,2433530,0.027289,Healthcare,354724,USD
TYSON FOODS INC CL A,TSN,902494103,2909730,0.026922,Consumer Defensive,455132,USD
OMNICOM GROUP,OMC,681919106,2279303,0.026638,Communication Services,306702,USD
ALLEGION PLC,ALLE,G0176J109,BFRT3W7,0.026638,Industrials,135392,USD
GEN DIGITAL INC,GEN,668771108,BJN4XN5,0.026637,Technology,884682,USD
C.H. ROBINSON WORLDWIDE INC,CHRW,12541W209,2116228,0.026624,Industrials,187139,USD
CLOROX COMPANY,CLX,189054109,2204026,0.026307,Consumer Defensive,192864,USD
DOW INC,DOW,260557103,BHXCF84,0.026153,Basic Materials,1115510,USD
EVEREST GROUP LTD,EG,G3223R108,2556868,0.02609,Financial Services,66282,USD
TEXTRON INC,TXT,883203101,2885937,0.026079,Industrials,281733,USD
CF INDUSTRIES HOLDINGS INC,CF,125269100,B0G4K50,0.025459,Basic Materials,256747,USD
KIMCO REALTY CORP,KIM,49446R109,2491594,0.025312,Real Estate,1072884,USD
DECKERS OUTDOOR CORP,DECK,243537107,2267278,0.025262,Consumer Cyclical,234040,USD
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,989207105,2989356,0.025205,Technology,80468,USD
BEST BUY CO INC,BBY,086516101,2094670,0.024919,Consumer Cyclical,311637,USD
COOPER COS INC/THE,COO,216648501,BQPDXR3,0.024641,Healthcare,317439,USD
INCYTE CORP,INCY,45337C102,2471950,0.024611,Healthcare,258680,USD
BUILDERS FIRSTSOURCE INC,BLDR,12008R107,B0BV2M7,0.024576,Industrials,176702,USD
MASCO CORP,MAS,574599106,2570200,0.024405,Industrials,330249,USD
TKO GROUP HOLDINGS INC,TKO,87256C101,BQBBFD1,0.02343,Communication Services,110328,USD
BALL CORP,BALL,058498106,2073022,0.022953,Consumer Cyclical,429313,USD
DOMINO S PIZZA INC,DPZ,25754A201,B01SD70,0.022714,Consumer Cyclical,49232,USD
HEALTHPEAK PROPERTIES INC,DOC,42250P103,BJBLRK3,0.022575,Real Estate,1101605,USD
AVERY DENNISON CORP,AVY,053611109,2066408,0.022196,Consumer Cyclical,123212,USD
NORDSON CORP,NDSN,655663102,2641838,0.021997,Industrials,84916,USD
IDEX CORP,IEX,45167R104,2456612,0.021748,Industrials,118857,USD
FOX CORP   CLASS A,FOXA,35137L105,BJJMGL2,0.021509,Communication Services,330791,USD
RALPH LAUREN CORP,RL,751212101,B4V9661,0.021471,Consumer Cyclical,61119,USD
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,0.020882,Basic Materials,409546,USD
ALEXANDRIA REAL ESTATE EQUIT,ARE,015271109,2009210,0.020601,Real Estate,245467,USD
REGENCY CENTERS CORP,REG,758849103,2726177,0.020516,Real Estate,256791,USD
VIATRIS INC,VTRS,92556V106,BMWS3X9,0.020325,Healthcare,1837947,USD
BUNGE GLOBAL SA,BG,H11356104,BQ6BPG9,0.020283,Consumer Defensive,221188,USD
BAXTER INTERNATIONAL INC,BAX,071813109,2085102,0.02016,Healthcare,808951,USD
JM SMUCKER CO/THE,SJM,832696405,2951452,0.020049,Consumer Defensive,168581,USD
HUNTINGTON INGALLS INDUSTRIE,HII,446413106,B40SSC9,0.019912,Industrials,61976,USD
UNIVERSAL HEALTH SERVICES B,UHS,913903100,2923785,0.019844,Healthcare,89123,USD
PINNACLE WEST CAPITAL,PNW,723484101,2048804,0.019807,Utilities,188784,USD
JACK HENRY + ASSOCIATES INC,JKHY,426281101,2469193,0.019787,Technology,115005,USD
GLOBE LIFE INC,GL,37959E102,BK6YKG1,0.019754,Financial Services,127932,USD
DAYFORCE INC,DAY,15677J108,BFX1V56,0.019624,Technology,253774,USD
ASSURANT INC,AIZ,04621X108,2331430,0.019603,Financial Services,79430,USD
CAMDEN PROPERTY TRUST,CPT,133131102,2166320,0.019598,Real Estate,169783,USD
UDR INC,UDR,902653104,2727910,0.01937,Real Estate,477753,USD
FACTSET RESEARCH SYSTEMS INC,FDS,303075105,2329770,0.019362,Financial Services,60234,USD
MOLINA HEALTHCARE INC,MOH,60855R100,2212706,0.019138,Healthcare,86867,USD
ALBEMARLE CORP,ALB,012653101,2046853,0.018906,Basic Materials,185316,USD
AKAMAI TECHNOLOGIES INC,AKAM,00971T101,2507457,0.018858,Technology,226781,USD
HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,2445416,0.018846,Industrials,121086,USD
SOLVENTUM CORP,SOLV,83444M101,BMTQB43,0.018699,Healthcare,233542,USD
SKYWORKS SOLUTIONS INC,SWKS,83088M102,2961053,0.018487,Technology,235446,USD
BXP INC,BXP,101121101,2019479,0.018393,Real Estate,233128,USD
REVVITY INC,RVTY,714046109,2305844,0.018381,Healthcare,183365,USD
WYNN RESORTS LTD,WYNN,983134107,2963811,0.018148,Consumer Cyclical,133326,USD
HOST HOTELS + RESORTS INC,HST,44107P104,2567503,0.018139,Real Estate,1009871,USD
NORWEGIAN CRUISE LINE HOLDIN,NCLH,G66721104,B9CGTC3,0.018105,Consumer Cyclical,710320,USD
PAYCOM SOFTWARE INC,PAYC,70432V102,BL95MY0,0.018105,Technology,79804,USD
AES CORP,AES,00130H105,2002479,0.018035,Utilities,1129005,USD
INVESCO LTD,IVZ,G491BT108,B28XP76,0.018,Financial Services,705567,USD
GENERAC HOLDINGS INC,GNRC,368736104,B6197Q2,0.017941,Industrials,92912,USD
STANLEY BLACK + DECKER INC,SWK,854502101,B3Q2FJ4,0.017939,Industrials,245235,USD
NEWS CORP   CLASS A,NWSA,65249B109,BBGVT40,0.017503,Communication Services,597985,USD
MOSAIC CO/THE,MOS,61945C103,B3NPHP6,0.01739,Basic Materials,504684,USD
INTERPUBLIC GROUP OF COS INC,IPG,460690100,2466321,0.017072,Communication Services,575670,USD
POOL CORP,POOL,73278L105,2781585,0.017032,Industrials,51744,USD
HASBRO INC,HAS,418056107,2414580,0.016971,Consumer Cyclical,210677,USD
MODERNA INC,MRNA,60770K107,BGSXTS3,0.016908,Healthcare,555067,USD
BIO TECHNE CORP,TECH,09073M104,BSHZ3Q0,0.016697,Healthcare,250704,USD
LAMB WESTON HOLDINGS INC,LW,513272104,BDQZFJ3,0.016015,Consumer Defensive,221267,USD
CONAGRA BRANDS INC,CAG,205887102,2215460,0.016007,Consumer Defensive,758804,USD
ALIGN TECHNOLOGY INC,ALGN,016255101,2679204,0.015269,Healthcare,106916,USD
ERIE INDEMNITY COMPANY CL A,ERIE,29530P102,2311711,0.01506,Financial Services,40901,USD
CHARLES RIVER LABORATORIES,CRL,159864107,2604336,0.014611,Healthcare,77045,USD
EPAM SYSTEMS INC,EPAM,29414B104,B44Z3T8,0.014292,Technology,88410,USD
MOLSON COORS BEVERAGE CO   B,TAP,60871R209,B067BM3,0.014242,Consumer Defensive,272872,USD
APA CORP,APA,03743Q108,BNNF1C1,0.014066,Energy,564688,USD
SMITH (A.O.) CORP,AOS,831865209,2816023,0.013872,Industrials,180339,USD
FOX CORP   CLASS B,FOX,35137L204,BJJMGY5,0.013674,Communication Services,234309,USD
MATCH GROUP INC,MTCH,57667L107,BK80XH9,0.013563,Communication Services,379838,USD
LKQ CORP,LKQ,501889208,2971029,0.013391,Consumer Cyclical,411243,USD
FEDERAL REALTY INVS TRUST,FRT,313745101,BN7P9B2,0.013344,Real Estate,122969,USD
FRANKLIN RESOURCES INC,BEN,354613101,2350684,0.01253,Financial Services,486809,USD
HORMEL FOODS CORP,HRL,440452100,2437264,0.012366,Consumer Defensive,458975,USD
EASTMAN CHEMICAL CO,EMN,277432100,2298386,0.012039,Basic Materials,182197,USD
HENRY SCHEIN INC,HSIC,806407102,2416962,0.011675,Healthcare,162782,USD
MGM RESORTS INTERNATIONAL,MGM,552953101,2547419,0.011667,Consumer Cyclical,328519,USD
CARMAX INC,KMX,143130102,2983563,0.011601,Consumer Cyclical,236683,USD
MOHAWK INDUSTRIES INC,MHK,608190104,2598699,0.011075,Consumer Cyclical,82991,USD
THE CAMPBELL S COMPANY,CPB,134429109,2162845,0.010896,Consumer Defensive,315809,USD
PARAMOUNT SKYDANCE CL B,PSKY,69932A204,BSNMNQ5,0.009485,Communication Services,491410.284,USD
BROWN FORMAN CORP CLASS B,BF.B,115637209,2146838,0.00846,Consumer Defensive,279073,USD
DAVITA INC,DVA,23918K108,2898087,0.007926,Healthcare,56304,USD
NEWS CORP   CLASS B,NWS,65249B208,BBGVT51,0.006562,Communication Services,197394,USD
CONTRA WALGREENS BOOTS,-,931CVR013,-,0.000002,-,3400,USD
S+P500 EMINI FUT  DEC25,ESZ5,ADI2RH606,-,-0.001252,-,19600,USD
US DOLLAR,-,999USDZ92,-,-0.023221,-,-20453144,USD
